fid,סמל ועדה,שם ועדה,סמל ישוב בחירות,שם ישוב בחירות,סמל קלפי,סמל רכוז,כתובת קלפי,מקום קלפי,נגישה,נגישה מיוחדת,בוחרי כנסת בפועל
"67","1",ירושלים,"3000",ירושלים,328,"97","צ'ילה,8 ",מרכז קהילתי פיליפ לאון,כ,כ,"587"
"68","1",ירושלים,"3000",ירושלים,330,"97","צ'ילה,8 ",מרכז קהילתי פיליפ לאון,כ, ,"409"
"69","1",ירושלים,"3000",ירושלים,331,"31","גרינולד,8 ",אולפנא נווה עציון, , ,"480"
"70","1",ירושלים,"3000",ירושלים,334,"31","גרינולד,8 ",אולפנא נווה עציון,כ,כ,"440"
"71","1",ירושלים,"3000",ירושלים,346,"497","שד שרת משה,1 ",בניין המכינה, , ,"475"
"72","1",ירושלים,"3000",ירושלים,347,"497","שד שרת משה,1 ",בניין המכינה,כ,כ,"527"
"73","1",ירושלים,"3000",ירושלים,349,"200","קדיש לוז,1 ",מרכז קהילתי רמת שרת, , ,"682"
"74","1",ירושלים,"3000",ירושלים,354,"200","קדיש לוז,1 ",מרכז קהילתי רמת שרת, , ,"679"
"75","1",ירושלים,"3000",ירושלים,358,"31","גרינולד,8 ",אולפנא נווה עציון, , ,"488"
"76","1",ירושלים,"3000",ירושלים,362,"77","שד דב יוסף,2 ",תיכון אורט ספאניאן, , ,"650"
"77","1",ירושלים,"3000",ירושלים,390,"77","שד דב יוסף,2 ",תיכון אורט ספאניאן,כ,כ,"665"
"78","1",ירושלים,"3000",ירושלים,413,"392","הטורים,23 ",מנהל קהילתי שלוחת מקור ברוך,כ,כ,"619"
"79","1",ירושלים,"3000",ירושלים,417.1,"136","שערי תורה,2 ",בית יעקב בית וגן,כ,כ,"487"
"80","1",ירושלים,"3000",ירושלים,417.2,"136","שערי תורה,2 ",בית יעקב בית וגן, , ,"487"
"81","1",ירושלים,"3000",ירושלים,417.3,"136","שערי תורה,2 ",בית יעקב בית וגן, , ,"487"
"82","1",ירושלים,"3000",ירושלים,436.1,"33","עמק רפאים,22 ",בית חינוך תיכון עירוני ג',כ,כ,"557"
"83","1",ירושלים,"3000",ירושלים,436.2,"33","עמק רפאים,22 ",בית חינוך תיכון עירוני ג',כ,כ,"557"
"84","1",ירושלים,"3000",ירושלים,437,"327","מסריק,10 ",מכללה למנהל,כ,כ,"628"
"85","1",ירושלים,"3000",ירושלים,440,"327","מסריק,10 ",מכללה למנהל, , ,"680"
"86","1",ירושלים,"3000",ירושלים,451,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"520"
"87","1",ירושלים,"3000",ירושלים,468.1,"400","בית הערבה,7 ",אורט בית הערבה, , ,"664"
"88","1",ירושלים,"3000",ירושלים,468.2,"400","בית הערבה,7 ",אורט בית הערבה, , ,"664"
"89","1",ירושלים,"3000",ירושלים,468.3,"400","בית הערבה,7 ",אורט בית הערבה, , ,"664"
"90","1",ירושלים,"3000",ירושלים,468.4,"400","בית הערבה,7 ",אורט בית הערבה, , ,"664"
"91","1",ירושלים,"3000",ירושלים,468.5,"400","בית הערבה,7 ",אורט בית הערבה, , ,"661"
"92","1",ירושלים,"3000",ירושלים,501.1,"302","גריק פטריאכט,26 ",המרכז הפדגוגי, , ,"679"
"93","1",ירושלים,"3000",ירושלים,501.2,"302","גריק פטריאכט,26 ",המרכז הפדגוגי, , ,"679"
"94","1",ירושלים,"3000",ירושלים,501.3,"302","גריק פטריאכט,26 ",המרכז הפדגוגי, , ,"679"
"95","1",ירושלים,"3000",ירושלים,501.4,"302","גריק פטריאכט,26 ",המרכז הפדגוגי, , ,"676"
"96","1",ירושלים,"3000",ירושלים,562.1,"388","ההגנה,13 ",מרכז קהילתי הגבעה הצרפתית,כ,כ,"693"
"97","1",ירושלים,"3000",ירושלים,562.2,"388","ההגנה,13 ",מרכז קהילתי הגבעה הצרפתית,כ,כ,"693"
"98","1",ירושלים,"3000",ירושלים,567.1,"38","הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ, , ,"684"
"99","1",ירושלים,"3000",ירושלים,567.2,"38","הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ, , ,"684"
"100","1",ירושלים,"3000",ירושלים,567.3,"38","הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ, , ,"684"
"101","1",ירושלים,"3000",ירושלים,567.4,"38","הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ, , ,"684"
"102","1",ירושלים,"3000",ירושלים,567.5,"38","הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ, , ,"684"
"103","1",ירושלים,"3000",ירושלים,567.6,"38","הגננת,29 ",ארץ הצבי בית חינוך תורני עירונ, , ,"683"
"104","1",ירושלים,"3000",ירושלים,575,"105","שד נוה יעקב,38ב",מועדון פיס לגיל הזהב (חדש),כ,כ,"663"
"105","1",ירושלים,"3000",ירושלים,587,"45","קדושי בבל,22 ",בית החינוך הניסויי איתן, , ,"572"
"106","1",ירושלים,"3000",ירושלים,591.1,"183","קדושי בבל,1 ",הלל חמד הניסויי, , ,"477"
